File Path,N,K,Iteration,CPU Time,Parallel Time,CPU Hull Size,Parallel Hull Size
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,512,3,1882,327.314,20,20
./Testcases/Circle/points_circle_100000000.txt,100000000,128,4,5167,227.664,1215,1414
./Testcases/Circle/points_circle_100000000.txt,100000000,256,4,5167,332.728,1215,1239
./Testcases/Circle/points_circle_100000000.txt,100000000,512,4,5167,704.183,1215,1218
./Testcases/Uniform/points_uniform_100000000.txt,100000000,128,4,17362,164.302,28,39
./Testcases/Uniform/points_uniform_100000000.txt,100000000,256,4,17362,214.755,28,28
./Testcases/Uniform/points_uniform_100000000.txt,100000000,512,4,17362,324.425,28,28
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,128,4,1888,165.468,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,256,4,1888,211.456,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,512,4,1888,321.506,20,20
./Testcases/Circle/points_circle_100000000.txt,100000000,128,5,5169,230.183,1215,1414
./Testcases/Circle/points_circle_100000000.txt,100000000,256,5,5169,342.795,1215,1239
./Testcases/Circle/points_circle_100000000.txt,100000000,512,5,5169,703.415,1215,1218
./Testcases/Uniform/points_uniform_100000000.txt,100000000,128,5,17393,167.872,28,39
./Testcases/Uniform/points_uniform_100000000.txt,100000000,256,5,17393,213.533,28,28
./Testcases/Uniform/points_uniform_100000000.txt,100000000,512,5,17393,318.006,28,28
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,128,5,1886,165.83,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,256,5,1886,213.528,20,20
./Testcases/Gaussian/points_gaussian_100000000.txt,100000000,512,5,1886,325.097,20,20
